benchmark_name,benchmark_category,dataset,score,ci,time_taken,noise_dataset,reference_dataset
Hubert,1,parler_tts_large,97.58131645032502,1.0,35.20907282829285,noise_uniform_distribution.tar.gz,speech_libritts_r_test
Wav2Vec2,1,parler_tts_large,97.10488486150648,1.0,35.04710125923157,noise_all_zeros.tar.gz,speech_libritts_r_test
WavLM,1,parler_tts_large,98.11899644809591,1.0,36.742395877838135,noise_uniform_distribution.tar.gz,speech_libritts_r_test
Allosaurus,2,parler_tts_large,94.4151006604498,1.0,20.119887113571167,noise_uniform_distribution.tar.gz,speech_libritts_r_test
Hubert Token,2,parler_tts_large,79.8968575239441,1.0,28.466256141662598,noise_uniform_distribution.tar.gz,speech_libritts_r_test
Hubert Token SR,2,parler_tts_large,84.05170854110088,1.0,28.38228702545166,noise_uniform_distribution.tar.gz,speech_libritts_r_test
MPM,2,parler_tts_large,98.9293253949222,1.0,11.657623052597046,noise_normal_distribution.tar.gz,speech_libritts_r_test
Pitch,2,parler_tts_large,89.97369730554145,1.0,2.901831865310669,noise_uniform_distribution.tar.gz,speech_libritts_r_test
VoiceFixer,3,parler_tts_large,83.88414557501997,1.0,125.06155514717102,noise_uniform_distribution.tar.gz,speech_libritts_r_test
Wada SNR,3,parler_tts_large,71.67908843425855,1.0,2.0015528202056885,noise_all_zeros.tar.gz,speech_libritts_r_test
DVector,4,parler_tts_large,90.53641476779181,1.0,9.099565029144287,noise_all_ones.tar.gz,speech_libritts_r_test
WeSpeaker,4,parler_tts_large,79.53764852980234,1.0,52.14096117019653,noise_uniform_distribution.tar.gz,speech_libritts_r_test
Wav2Vec2 Activations,6,parler_tts_large,97.17189351316995,1.0,34.573617935180664,noise_uniform_distribution.tar.gz,speech_libritts_r_test
Wav2Vec2 WER,6,parler_tts_large,88.93761536769834,1.0,30.44792890548706,noise_all_ones.tar.gz,speech_libritts_r_test
Whisper WER,6,parler_tts_large,87.50009575336392,1.0,177.41337609291077,noise_uniform_distribution.tar.gz,speech_libritts_r_test
