benchmark_name,benchmark_category,dataset,score,ci,time_taken,noise_dataset,reference_dataset
Hubert,1,parler.tar.gz,94.54043904768986,1.0,134.86077547073364,esc50.tar.gz,speech_libritts_r_test.tar.gz
Hubert,1,xttsv2.tar.gz,94.08640625393409,1.0,142.26333498954773,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,pheme.tar.gz,93.80203670681242,1.0,124.30975937843324,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,styletts_2.tar.gz,93.4613796856062,1.0,137.10107254981995,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,metavoice.tar.gz,91.1302297044776,1.0,142.34278345108032,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,openvoice.tar.gz,91.08515661270692,1.0,113.2825219631195,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,openvoice_v2.tar.gz,89.99729699001288,1.0,109.20647478103638,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,whisper_speech.tar.gz,89.59650854238289,1.0,152.41745972633362,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,melotts.tar.gz,88.6954792025526,1.0,158.75398993492126,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,vokan.tar.gz,88.07493484837917,1.0,125.28003406524658,esc50.tar.gz,speech_libritts_r_test.tar.gz
Hubert,1,voicecraft2.tar.gz,85.69596876523816,1.0,160.33413934707642,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,gptsovits.tar.gz,85.2208958876426,1.0,167.35768699645996,esc50.tar.gz,speech_libritts_test.tar.gz
Wav2Vec2,1,parler.tar.gz,94.09058122527698,1.0,100.79491710662842,esc50.tar.gz,speech_libritts_r_test.tar.gz
Wav2Vec2,1,xttsv2.tar.gz,93.23599862286837,1.0,69.37688088417053,esc50.tar.gz,speech_libritts_test.tar.gz
Wav2Vec2,1,pheme.tar.gz,92.83390552514604,1.0,112.867858171463,esc50.tar.gz,speech_libritts_test.tar.gz
Wav2Vec2,1,styletts_2.tar.gz,92.30029648269657,1.0,107.17788672447205,esc50.tar.gz,speech_libritts_test.tar.gz
Wav2Vec2,1,openvoice.tar.gz,90.83004822002827,1.0,321.8169267177582,esc50.tar.gz,speech_libritts_test.tar.gz
Wav2Vec2,1,openvoice_v2.tar.gz,89.67547444270969,1.0,92.68622708320618,esc50.tar.gz,speech_libritts_test.tar.gz
Wav2Vec2,1,whisper_speech.tar.gz,89.14695498413293,1.0,120.6838448047638,esc50.tar.gz,speech_libritts_test.tar.gz
Wav2Vec2,1,vokan.tar.gz,88.44469841204405,1.0,104.6268241405487,esc50.tar.gz,speech_libritts_test.tar.gz
Wav2Vec2,1,voicecraft2.tar.gz,83.95199540304613,1.0,112.3341624736786,esc50.tar.gz,speech_libritts_test.tar.gz
WavLM,1,xttsv2.tar.gz,95.58107958818624,1.0,109.21033358573914,esc50.tar.gz,speech_libritts_test.tar.gz
WavLM,1,pheme.tar.gz,95.49563233161568,1.0,105.82653522491455,esc50.tar.gz,speech_libritts_test.tar.gz
WavLM,1,parler.tar.gz,95.40641839128538,1.0,115.23413372039795,esc50.tar.gz,speech_libritts_r_test.tar.gz
WavLM,1,styletts_2.tar.gz,95.39232290375027,1.0,113.48215556144714,esc50.tar.gz,speech_libritts_test.tar.gz
WavLM,1,openvoice.tar.gz,93.25898952127667,1.0,322.0482294559479,esc50.tar.gz,speech_libritts_test.tar.gz
WavLM,1,openvoice_v2.tar.gz,92.5644858456969,1.0,107.03886866569519,esc50.tar.gz,speech_libritts_test.tar.gz
WavLM,1,whisper_speech.tar.gz,91.35187392741031,1.0,131.24594640731812,esc50.tar.gz,speech_libritts_test.tar.gz
WavLM,1,vokan.tar.gz,89.19230764266868,1.0,107.88192486763,esc50.tar.gz,speech_libritts_r_test.tar.gz
WavLM,1,voicecraft2.tar.gz,86.62719485871455,1.0,124.43880844116211,esc50.tar.gz,speech_libritts_test.tar.gz
HubertToken,2,xttsv2.tar.gz,89.45855906957283,1.0,46.5063214302063,noise_uniform_distribution.tar.gz,speech_blizzard2013.tar.gz
HubertToken,2,openvoice.tar.gz,89.17196857176785,1.0,42.23298740386963,noise_uniform_distribution.tar.gz,speech_blizzard2013.tar.gz
HubertToken,2,pheme.tar.gz,89.01339296834065,1.0,39.9419150352478,noise_uniform_distribution.tar.gz,speech_blizzard2013.tar.gz
HubertToken,2,styletts_2.tar.gz,86.92601155925144,1.0,56.1445381641388,noise_uniform_distribution.tar.gz,speech_lj_speech.tar.gz
HubertToken,2,metavoice.tar.gz,86.2047951922621,1.0,48.56802034378052,noise_uniform_distribution.tar.gz,speech_blizzard2013.tar.gz
HubertToken,2,melotts.tar.gz,84.7409196589682,1.0,50.26741814613342,noise_uniform_distribution.tar.gz,speech_blizzard2013.tar.gz
HubertToken,2,openvoice_v2.tar.gz,82.5620390186399,1.0,38.23740816116333,noise_uniform_distribution.tar.gz,speech_blizzard2013.tar.gz
HubertToken,2,vokan.tar.gz,78.52670993812353,1.0,52.71330666542053,noise_uniform_distribution.tar.gz,speech_vctk.tar.gz
HubertToken,2,parler.tar.gz,77.03591785185505,1.0,48.91889238357544,noise_uniform_distribution.tar.gz,speech_libritts_test.tar.gz
HubertToken,2,whisper_speech.tar.gz,69.69279474526618,1.0,73.76853704452515,noise_uniform_distribution.tar.gz,speech_vctk.tar.gz
HubertToken,2,gptsovits.tar.gz,53.52172454268593,1.0,57.98587512969971,esc50.tar.gz,speech_blizzard2013.tar.gz
HubertToken,2,voicecraft2.tar.gz,50.72530668065633,1.0,340.7710716724396,esc50.tar.gz,speech_common_voice.tar.gz
MPM,2,styletts_2.tar.gz,96.28148330410106,1.0,53.52254796028137,esc50.tar.gz,speech_libritts_test.tar.gz
MPM,2,openvoice.tar.gz,94.65720616615896,1.0,44.38788151741028,esc50.tar.gz,speech_libritts_test.tar.gz
MPM,2,openvoice_v2.tar.gz,93.15773558583058,1.0,40.7706606388092,esc50.tar.gz,speech_libritts_test.tar.gz
MPM,2,parler.tar.gz,91.35469810471528,1.0,47.30156898498535,esc50.tar.gz,speech_libritts_r_test.tar.gz
MPM,2,pheme.tar.gz,91.34017112105286,1.0,44.23947954177856,esc50.tar.gz,speech_libritts_test.tar.gz
MPM,2,xttsv2.tar.gz,91.27897077788415,1.0,47.90961766242981,esc50.tar.gz,speech_libritts_r_test.tar.gz
MPM,2,melotts.tar.gz,88.60876781932541,1.0,8.541243553161621,esc50.tar.gz,speech_lj_speech.tar.gz
MPM,2,gptsovits.tar.gz,88.32147267749028,1.0,56.65985369682312,esc50.tar.gz,speech_libritts_test.tar.gz
MPM,2,vokan.tar.gz,87.96453035599842,1.0,48.21773362159729,esc50.tar.gz,speech_libritts_test.tar.gz
MPM,2,whisper_speech.tar.gz,87.1192911483034,1.0,66.65999984741211,esc50.tar.gz,speech_libritts_test.tar.gz
MPM,2,metavoice.tar.gz,84.75237978918109,1.0,51.77084040641785,esc50.tar.gz,speech_libritts_r_test.tar.gz
MPM,2,voicecraft2.tar.gz,78.21044491906775,1.0,54.6916446685791,esc50.tar.gz,speech_lj_speech.tar.gz
Pitch,2,metavoice.tar.gz,94.2574633061071,1.0,0.6220536231994629,esc50.tar.gz,speech_libritts_r_test.tar.gz
Pitch,2,openvoice.tar.gz,91.71901189782568,1.0,0.6172797679901123,noise_all_ones.tar.gz,speech_vctk.tar.gz
Pitch,2,xttsv2.tar.gz,90.76268957492144,1.0,20.00578212738037,esc50.tar.gz,speech_libritts_test.tar.gz
Pitch,2,openvoice_v2.tar.gz,90.04147746044163,1.0,0.5857334136962891,esc50.tar.gz,speech_libritts_r_test.tar.gz
Pitch,2,vokan.tar.gz,89.26083299959306,1.0,0.6472067832946777,noise_all_ones.tar.gz,speech_libritts_r_test.tar.gz
Pitch,2,gptsovits.tar.gz,88.13132697545974,1.0,26.906121730804443,esc50.tar.gz,speech_libritts_test.tar.gz
Pitch,2,styletts_2.tar.gz,86.11435596493138,1.0,0.6517386436462402,noise_all_ones.tar.gz,speech_libritts_r_test.tar.gz
Pitch,2,whisper_speech.tar.gz,85.18244981499342,1.0,0.6721069812774658,esc50.tar.gz,speech_vctk.tar.gz
Pitch,2,parler.tar.gz,80.65108947909695,1.0,0.640021800994873,esc50.tar.gz,speech_blizzard2013.tar.gz
Pitch,2,melotts.tar.gz,77.4670516948857,1.0,0.6113038063049316,esc50.tar.gz,speech_lj_speech.tar.gz
Pitch,2,pheme.tar.gz,74.92151744188004,1.0,16.91354990005493,noise_all_ones.tar.gz,speech_vctk.tar.gz
Pitch,2,voicecraft2.tar.gz,61.382905103235,1.0,26.628209829330444,esc50.tar.gz,speech_lj_speech.tar.gz
VoiceFixer,3,openvoice.tar.gz,94.199280732623,1.0,167.1203830242157,noise_all_ones.tar.gz,speech_blizzard2013.tar.gz
VoiceFixer,3,vokan.tar.gz,93.40643860036052,1.0,177.5053014755249,noise_all_ones.tar.gz,speech_blizzard2013.tar.gz
VoiceFixer,3,openvoice_v2.tar.gz,92.3373700440012,1.0,161.40078830718994,noise_all_ones.tar.gz,speech_blizzard2013.tar.gz
VoiceFixer,3,melotts.tar.gz,92.26267381773954,1.0,177.25280714035034,noise_all_ones.tar.gz,speech_libritts_r_test.tar.gz
VoiceFixer,3,pheme.tar.gz,90.8264529300255,1.0,165.62520289421082,noise_all_ones.tar.gz,speech_blizzard2013.tar.gz
VoiceFixer,3,parler.tar.gz,89.22728811295433,1.0,166.8753945827484,noise_all_ones.tar.gz,speech_vctk.tar.gz
VoiceFixer,3,xttsv2.tar.gz,89.08521695705429,1.0,181.4448683261872,noise_all_ones.tar.gz,speech_blizzard2013.tar.gz
VoiceFixer,3,whisper_speech.tar.gz,87.84872612609668,1.0,176.72820568084717,noise_all_ones.tar.gz,speech_blizzard2013.tar.gz
VoiceFixer,3,styletts_2.tar.gz,87.5073639335986,1.0,179.2715229988098,noise_all_ones.tar.gz,speech_lj_speech.tar.gz
VoiceFixer,3,metavoice.tar.gz,87.36584845538805,1.0,176.4528443813324,noise_all_ones.tar.gz,speech_lj_speech.tar.gz
VoiceFixer,3,gptsovits.tar.gz,78.83359377685545,1.0,188.98596906661987,noise_all_ones.tar.gz,speech_libritts_test.tar.gz
VoiceFixer,3,voicecraft2.tar.gz,75.17960375848162,1.0,2079.55525970459,noise_all_ones.tar.gz,speech_libritts_test.tar.gz
WadaSNR,3,openvoice_v2.tar.gz,90.1427416170811,1.0,0.0149788856506347,esc50.tar.gz,speech_lj_speech.tar.gz
WadaSNR,3,melotts.tar.gz,83.06488694633873,1.0,0.015432596206665,esc50.tar.gz,speech_vctk.tar.gz
WadaSNR,3,styletts_2.tar.gz,81.95185663662924,1.0,0.0157949924468994,esc50.tar.gz,speech_vctk.tar.gz
WadaSNR,3,openvoice.tar.gz,81.81395640668867,1.0,0.0152864456176757,esc50.tar.gz,speech_lj_speech.tar.gz
WadaSNR,3,whisper_speech.tar.gz,80.01509029094143,1.0,0.0156168937683105,esc50.tar.gz,speech_common_voice.tar.gz
WadaSNR,3,vokan.tar.gz,76.75048509391759,1.0,0.0155651569366455,noise_all_zeros.tar.gz,speech_libritts_r_test.tar.gz
WadaSNR,3,pheme.tar.gz,72.98537305662066,1.0,11.188059091567991,esc50.tar.gz,speech_vctk.tar.gz
WadaSNR,3,parler.tar.gz,72.27395284764681,1.0,0.015517234802246,esc50.tar.gz,speech_blizzard2013.tar.gz
WadaSNR,3,xttsv2.tar.gz,69.49957801623174,1.0,14.672698259353638,esc50.tar.gz,speech_lj_speech.tar.gz
WadaSNR,3,metavoice.tar.gz,68.71061152948903,1.0,0.0150797367095947,esc50.tar.gz,speech_common_voice.tar.gz
