benchmark_name,benchmark_category,dataset,score,ci,time_taken,noise_dataset,reference_dataset
Hubert,1,parler.tar.gz,94.5404390522361,1.0,124.59978604316711,noise_esc50,reference_speech_libritts_r_test
Hubert,1,xttsv2.tar.gz,94.08640627299717,1.0,134.5800392627716,noise_esc50,reference_speech_libritts_test
Hubert,1,pheme.tar.gz,93.80203663860142,1.0,119.1046781539917,noise_esc50,reference_speech_libritts_test
Hubert,1,styletts_2.tar.gz,93.46137965802308,1.0,126.84944558143616,noise_esc50,reference_speech_libritts_test
Hubert,1,openvoice.tar.gz,91.0851565807428,1.0,62.45856785774231,noise_esc50,reference_speech_libritts_test
Hubert,1,openvoice_v2.tar.gz,89.997296870775,1.0,119.05289673805235,noise_esc50,reference_speech_libritts_test
Hubert,1,whisper_speech.tar.gz,89.59650840370541,1.0,162.37666058540344,noise_esc50,reference_speech_libritts_test
Hubert,1,vokan.tar.gz,88.07493504309956,1.0,141.8659520149231,noise_esc50,reference_speech_libritts_r_test
Hubert,1,voicecraft2.tar.gz,85.69596873442636,1.0,159.47136187553406,noise_esc50,reference_speech_libritts_test
Wav2Vec2,1,parler.tar.gz,94.090581399594,1.0,95.82865309715272,noise_esc50,reference_speech_libritts_r_test
Wav2Vec2,1,xttsv2.tar.gz,93.23599890583226,1.0,95.01738715171814,noise_esc50,reference_speech_libritts_test
Wav2Vec2,1,pheme.tar.gz,92.83390552297487,1.0,91.37873816490172,noise_esc50,reference_speech_libritts_test
Wav2Vec2,1,styletts_2.tar.gz,92.30029645092324,1.0,101.73942303657532,noise_esc50,reference_speech_libritts_test
Wav2Vec2,1,openvoice.tar.gz,90.83004861136868,1.0,111.23961687088013,noise_esc50,reference_speech_libritts_test
Wav2Vec2,1,openvoice_v2.tar.gz,89.67547415210426,1.0,107.44602632522584,noise_esc50,reference_speech_libritts_test
Wav2Vec2,1,whisper_speech.tar.gz,89.14695509253995,1.0,114.242844581604,noise_esc50,reference_speech_libritts_test
Wav2Vec2,1,vokan.tar.gz,88.44469810366172,1.0,99.49274349212646,noise_esc50,reference_speech_libritts_test
Wav2Vec2,1,voicecraft2.tar.gz,83.95199513473236,1.0,105.27433896064758,noise_esc50,reference_speech_libritts_test
WavLM,1,xttsv2.tar.gz,95.58107958818624,1.0,95.93639731407166,noise_esc50,reference_speech_libritts_test
WavLM,1,pheme.tar.gz,95.49563233161568,1.0,89.67045974731445,noise_esc50,reference_speech_libritts_test
WavLM,1,parler.tar.gz,95.40641839128538,1.0,95.41197800636292,noise_esc50,reference_speech_libritts_r_test
WavLM,1,styletts_2.tar.gz,95.39232290375028,1.0,102.22206473350523,noise_esc50,reference_speech_libritts_test
WavLM,1,openvoice.tar.gz,93.25898952127667,1.0,92.68878555297852,noise_esc50,reference_speech_libritts_test
WavLM,1,openvoice_v2.tar.gz,92.5644858456969,1.0,88.64464712142944,noise_esc50,reference_speech_libritts_test
WavLM,1,whisper_speech.tar.gz,91.35187392741032,1.0,116.23487138748168,noise_esc50,reference_speech_libritts_test
WavLM,1,vokan.tar.gz,89.19230764266868,1.0,99.75403094291688,noise_esc50,reference_speech_libritts_r_test
WavLM,1,voicecraft2.tar.gz,86.62719485871455,1.0,106.71917581558228,noise_esc50,reference_speech_libritts_test
Hubert Token,2,pheme.tar.gz,90.9843132180544,1.0,38.543118715286255,noise_noise_uniform_distribution,reference_speech_blizzard2013
Hubert Token,2,openvoice.tar.gz,90.5654059699615,1.0,41.829068183898926,noise_noise_uniform_distribution,reference_speech_blizzard2013
Hubert Token,2,styletts_2.tar.gz,86.46786623692262,1.0,54.19551610946655,noise_noise_uniform_distribution,reference_speech_lj_speech
Hubert Token,2,openvoice_v2.tar.gz,83.69874370210594,1.0,37.23568344116211,noise_noise_uniform_distribution,reference_speech_blizzard2013
Hubert Token,2,xttsv2.tar.gz,81.36422514825712,1.0,45.49807000160217,noise_noise_uniform_distribution,reference_speech_blizzard2013
Hubert Token,2,vokan.tar.gz,77.67468881481302,1.0,51.2910361289978,noise_noise_uniform_distribution,reference_speech_libritts_test
Hubert Token,2,parler.tar.gz,71.14273016287268,1.0,47.15288829803467,noise_esc50,reference_speech_libritts_test
Hubert Token,2,whisper_speech.tar.gz,67.29526589938177,1.0,69.6829125881195,noise_esc50,reference_speech_common_voice
Hubert Token,2,voicecraft2.tar.gz,53.72976539472917,1.0,58.81003403663635,noise_esc50,reference_speech_blizzard2013
MPM,2,styletts_2.tar.gz,96.28148330410106,1.0,52.91341423988342,noise_esc50,reference_speech_libritts_test
MPM,2,openvoice.tar.gz,94.65720616615896,1.0,43.34246110916138,noise_esc50,reference_speech_libritts_test
MPM,2,openvoice_v2.tar.gz,93.15773558583058,1.0,39.98830366134644,noise_esc50,reference_speech_libritts_test
MPM,2,parler.tar.gz,91.35469810471528,1.0,46.27796745300293,noise_esc50,reference_speech_libritts_r_test
