benchmark_name,benchmark_category,dataset,score,ci,time_taken,noise_dataset,reference_dataset
Wav2Vec2 Activations,6,librittsr Test,97.73435070153268,1.0,10513.59396147728,noise_uniform_distribution.tar.gz,librittsr Reference
Wav2Vec2 Activations,6,fish,97.29092254177745,1.0,9863.796881437302,noise_uniform_distribution.tar.gz,librittsr Reference
Wav2Vec2 Activations,6,e2,97.21334152925455,1.0,9863.988564491272,noise_uniform_distribution.tar.gz,librittsr Reference
Wav2Vec2 Activations,6,whisperspeech,97.17018414915353,1.0,9770.797098636627,noise_uniform_distribution.tar.gz,librittsr Reference
Wav2Vec2 Activations,6,pheme,97.03800032482599,1.0,10511.904239416122,noise_uniform_distribution.tar.gz,librittsr Reference
Wav2Vec2 Activations,6,f5,96.94486287137595,1.0,10471.110087871552,noise_uniform_distribution.tar.gz,librittsr Reference
Wav2Vec2 Activations,6,gpt-sovits,96.82695720349996,1.0,10497.091233730316,noise_uniform_distribution.tar.gz,librittsr Reference
Wav2Vec2 Activations,6,styletts2,96.81630715570986,1.0,9863.194845199585,noise_uniform_distribution.tar.gz,librittsr Reference
Wav2Vec2 Activations,6,speecht5,96.71024103611568,1.0,10505.309472799301,noise_uniform_distribution.tar.gz,librittsr Reference
Wav2Vec2 Activations,6,tortoise,96.32606951564512,1.0,10505.907833099365,noise_uniform_distribution.tar.gz,librittsr Reference
Wav2Vec2 Activations,6,bark,96.15599110140207,1.0,9864.08476114273,noise_uniform_distribution.tar.gz,librittsr Reference
Wav2Vec2 Activations,6,openvoice,96.09751421337862,1.0,9863.592500686646,noise_uniform_distribution.tar.gz,librittsr Reference
Wav2Vec2 Activations,6,parlertts,95.8694476634734,1.0,10502.8951151371,noise_uniform_distribution.tar.gz,librittsr Reference
Wav2Vec2 Activations,6,hierspeechpp,95.6977761021441,1.0,10497.601963043213,noise_uniform_distribution.tar.gz,librittsr Reference
Wav2Vec2 Activations,6,metavoice,95.35403853001829,1.0,10502.493892908096,noise_uniform_distribution.tar.gz,librittsr Reference
Wav2Vec2 Activations,6,voicecraft,90.28340676151362,1.0,10419.193906784058,noise_uniform_distribution.tar.gz,librittsr Reference
Wav2Vec2 Activations,6,amphion_ns2,86.4416045584515,1.0,9863.992316961288,noise_uniform_distribution.tar.gz,librittsr Reference
Wav2Vec2 Activations,6,amphion_valle,64.19714076811638,1.0,10503.502238750458,noise_uniform_distribution.tar.gz,librittsr Reference
Whisper Activations,6,librittsr Test,93.50068582620943,1.0,10504.38491821289,noise_normal_distribution.tar.gz,librittsr Reference
Whisper Activations,6,styletts2,89.78230313256755,1.0,1132.2970921993256,noise_normal_distribution.tar.gz,librittsr Reference
Whisper Activations,6,speecht5,88.81848833107617,1.0,10419.297869682312,noise_normal_distribution.tar.gz,librittsr Reference
Whisper Activations,6,openvoice,87.53522404561933,1.0,10419.401046276093,noise_normal_distribution.tar.gz,librittsr Reference
Whisper Activations,6,gpt-sovits,87.17892338321631,1.0,10470.795885801315,noise_normal_distribution.tar.gz,librittsr Reference
Whisper Activations,6,e2,86.9763727238781,1.0,10503.904302120209,noise_normal_distribution.tar.gz,librittsr Reference
Whisper Activations,6,f5,86.85828799837817,1.0,9864.295185089111,noise_normal_distribution.tar.gz,librittsr Reference
Whisper Activations,6,fish,86.44788006795629,1.0,9863.786897182465,noise_normal_distribution.tar.gz,librittsr Reference
Whisper Activations,6,whisperspeech,85.19770340438323,1.0,1039.3023607730865,noise_normal_distribution.tar.gz,librittsr Reference
Whisper Activations,6,pheme,85.03517737789225,1.0,10504.100640058517,noise_normal_distribution.tar.gz,librittsr Reference
Whisper Activations,6,hierspeechpp,83.86675382986287,1.0,10509.100615978241,noise_normal_distribution.tar.gz,librittsr Reference
Whisper Activations,6,amphion_ns2,82.78704155033384,1.0,10499.697180747986,noise_normal_distribution.tar.gz,librittsr Reference
Whisper Activations,6,parlertts,82.46710759417867,1.0,10500.591691732407,noise_normal_distribution.tar.gz,librittsr Reference
Whisper Activations,6,tortoise,81.41669349771566,1.0,1039.6034548282623,noise_normal_distribution.tar.gz,librittsr Reference
Whisper Activations,6,bark,80.361519122543,1.0,9864.093386411667,noise_normal_distribution.tar.gz,librittsr Reference
Whisper Activations,6,metavoice,78.25714713515174,1.0,10512.611763477325,noise_normal_distribution.tar.gz,librittsr Reference
Whisper Activations,6,voicecraft,70.39685851539828,1.0,1038.9983360767365,noise_normal_distribution.tar.gz,librittsr Reference
Whisper Activations,6,amphion_valle,60.31842673806613,1.0,9863.884888410568,noise_normal_distribution.tar.gz,librittsr Reference
