benchmark_name,benchmark_category,dataset,score,ci,time_taken,noise_dataset,reference_dataset
Hubert Token,2,librittsr Test,94.13133401543278,1.0,0.3715949058532715,noise_normal_distribution.tar.gz,librittsr Reference
Hubert Token,2,hierspeechpp,90.42656217310318,1.0,0.7948884963989258,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token,2,styletts2,90.36851191264319,1.0,0.39396095275878906,noise_normal_distribution.tar.gz,librittsr Reference
Hubert Token,2,fish,90.2626019308564,1.0,0.38056063652038574,noise_normal_distribution.tar.gz,librittsr Reference
Hubert Token,2,whisperspeech,89.99126789883543,1.0,0.3768494129180908,noise_normal_distribution.tar.gz,librittsr Reference
Hubert Token,2,gpt-sovits,89.26260683959485,1.0,0.39908647537231445,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token,2,f5,86.70119468115143,1.0,0.36084794998168945,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token,2,openvoice,86.2281747834635,1.0,0.3730905055999756,noise_normal_distribution.tar.gz,librittsr Reference
Hubert Token,2,tortoise,85.04460272729926,1.0,0.41509580612182617,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token,2,parlertts,84.57923769498615,1.0,0.3473083972930908,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token,2,amphion_ns2,83.04578809702525,1.0,0.6708474159240723,noise_normal_distribution.tar.gz,librittsr Reference
Hubert Token,2,e2,81.81010575332994,1.0,0.3911473751068115,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token,2,amphion_valle,80.01145883591569,1.0,0.8174586296081543,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token,2,pheme,75.23262854630534,1.0,0.37816309928894043,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token,2,metavoice,74.10616562275905,1.0,0.395160436630249,noise_normal_distribution.tar.gz,librittsr Reference
Hubert Token,2,bark,71.13404644122157,1.0,0.8170878887176514,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token,2,speecht5,68.0000760611816,1.0,0.3673408031463623,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token,2,voicecraft,18.131251409840726,1.0,0.3958730697631836,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token SR,2,librittsr Test,89.60111822538788,1.0,0.3818798065185547,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token SR,2,fish,84.82987885840319,1.0,0.36393117904663086,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token SR,2,gpt-sovits,83.00494394916801,1.0,0.35639119148254395,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token SR,2,whisperspeech,82.35805272125778,1.0,0.3586301803588867,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token SR,2,styletts2,81.37627267114786,1.0,0.39373254776000977,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token SR,2,tortoise,81.09075365525946,1.0,0.358597993850708,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token SR,2,e2,80.6603647537412,1.0,0.3640894889831543,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token SR,2,pheme,80.4850383396538,1.0,0.3315730094909668,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token SR,2,speecht5,80.04996113424693,1.0,0.36667871475219727,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token SR,2,openvoice,78.4893951503149,1.0,0.3692910671234131,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token SR,2,f5,78.44829569557325,1.0,0.19130611419677734,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token SR,2,parlertts,77.44605309950289,1.0,0.37075281143188477,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token SR,2,metavoice,76.5006619821343,1.0,0.30547118186950684,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token SR,2,hierspeechpp,76.14465074312056,1.0,0.36769700050354004,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token SR,2,amphion_ns2,73.63793899131933,1.0,0.3633859157562256,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token SR,2,bark,73.34213416851937,1.0,0.3320174217224121,noise_uniform_distribution.tar.gz,librittsr Reference
Hubert Token SR,2,voicecraft,58.357421950576395,1.0,0.3339543342590332,noise_normal_distribution.tar.gz,librittsr Reference
Hubert Token SR,2,amphion_valle,49.60514774956188,1.0,0.3658173084259033,noise_uniform_distribution.tar.gz,librittsr Reference
