benchmark_name,benchmark_category,dataset,score,ci,time_taken,noise_dataset,reference_dataset
Hubert,1,emilia Test,98.79111906881008,1.0,127.63746881484985,speech_noise_uniform_distribution.tar.gz,emilia Reference
Hubert,1,e2,97.96431688248201,1.0,143.74790954589844,speech_noise_uniform_distribution.tar.gz,emilia Reference
Hubert,1,whisperspeech,97.51732346745449,1.0,81.59710359573364,speech_noise_uniform_distribution.tar.gz,emilia Reference
Hubert,1,fish,97.49802076223195,1.0,143.52276992797852,speech_noise_uniform_distribution.tar.gz,emilia Reference
Hubert,1,f5,97.43596948295473,1.0,113.02442908287048,speech_noise_uniform_distribution.tar.gz,emilia Reference
Hubert,1,tortoise,97.24839434421943,1.0,121.2683117389679,speech_noise_uniform_distribution.tar.gz,emilia Reference
Hubert,1,pheme,97.16154180568138,1.0,137.2458758354187,speech_noise_uniform_distribution.tar.gz,emilia Reference
Hubert,1,metavoice,96.91876489033935,1.0,143.5001084804535,speech_noise_uniform_distribution.tar.gz,emilia Reference
Hubert,1,xtts,96.75848980267956,1.0,81.09033012390137,speech_noise_uniform_distribution.tar.gz,emilia Reference
Hubert,1,parlertts,96.59962203995242,1.0,137.19505286216736,speech_noise_uniform_distribution.tar.gz,emilia Reference
Hubert,1,bark,94.84037158566426,1.0,143.76414012908936,speech_noise_uniform_distribution.tar.gz,emilia Reference
Hubert,1,gpt-sovits,94.78709970150214,1.0,143.50132584571838,speech_noise_uniform_distribution.tar.gz,emilia Reference
Hubert,1,speecht5,94.7417227475302,1.0,122.60551118850708,speech_noise_uniform_distribution.tar.gz,emilia Reference
Hubert,1,hierspeechpp,94.54754779070498,1.0,143.49474334716797,speech_noise_uniform_distribution.tar.gz,emilia Reference
Hubert,1,amphion_valle,94.47016270110365,1.0,112.98696112632751,speech_noise_uniform_distribution.tar.gz,emilia Reference
Hubert,1,styletts2,93.96682732707428,1.0,122.8030092716217,speech_noise_uniform_distribution.tar.gz,emilia Reference
Hubert,1,openvoice,92.14079519389809,1.0,143.38587498664856,speech_noise_uniform_distribution.tar.gz,emilia Reference
Hubert,1,amphion_ns2,91.75655990589304,1.0,113.15330600738525,speech_noise_uniform_distribution.tar.gz,emilia Reference
Hubert,1,voicecraft,87.91447697929902,1.0,82.92582726478577,speech_noise_uniform_distribution.tar.gz,emilia Reference
Wav2Vec2,1,emilia Test,98.55268156370786,1.0,128.721204996109,speech_noise_all_zeros.tar.gz,emilia Reference
Wav2Vec2,1,e2,97.79236787748681,1.0,117.79603910446167,speech_noise_all_zeros.tar.gz,emilia Reference
Wav2Vec2,1,f5,97.43301754523694,1.0,131.10640478134155,speech_noise_all_zeros.tar.gz,emilia Reference
Wav2Vec2,1,fish,97.29401998555332,1.0,129.47355103492737,speech_noise_all_zeros.tar.gz,emilia Reference
Wav2Vec2,1,whisperspeech,97.22593184558876,1.0,156.1138470172882,speech_noise_all_zeros.tar.gz,emilia Reference
Wav2Vec2,1,tortoise,97.02085300441951,1.0,149.50134420394897,speech_noise_all_zeros.tar.gz,emilia Reference
Wav2Vec2,1,pheme,96.97926112663852,1.0,120.85681509971619,speech_noise_all_zeros.tar.gz,emilia Reference
Wav2Vec2,1,xtts,96.61691751852455,1.0,151.11611104011536,speech_noise_all_zeros.tar.gz,emilia Reference
Wav2Vec2,1,parlertts,96.60009581999186,1.0,145.76772260665894,speech_noise_all_zeros.tar.gz,emilia Reference
Wav2Vec2,1,metavoice,96.57662955308798,1.0,127.45045590400696,speech_noise_all_zeros.tar.gz,emilia Reference
Wav2Vec2,1,bark,95.17474490580867,1.0,117.80628705024719,speech_noise_all_zeros.tar.gz,emilia Reference
Wav2Vec2,1,gpt-sovits,94.72893176203901,1.0,142.7224941253662,speech_noise_all_zeros.tar.gz,emilia Reference
Wav2Vec2,1,speecht5,94.35172517152407,1.0,123.40609526634216,speech_noise_all_zeros.tar.gz,emilia Reference
Wav2Vec2,1,styletts2,94.24742385792035,1.0,150.7592260837555,speech_noise_all_zeros.tar.gz,emilia Reference
Wav2Vec2,1,amphion_valle,94.23282940164601,1.0,117.80266833305359,speech_noise_normal_distribution.tar.gz,emilia Reference
Wav2Vec2,1,hierspeechpp,93.81469445353623,1.0,128.01447534561157,speech_noise_all_zeros.tar.gz,emilia Reference
Wav2Vec2,1,openvoice,92.71412777345085,1.0,137.59039783477783,speech_noise_all_zeros.tar.gz,emilia Reference
Wav2Vec2,1,amphion_ns2,92.59662502450078,1.0,117.80884313583374,speech_noise_all_zeros.tar.gz,emilia Reference
Wav2Vec2,1,voicecraft,88.50131299517588,1.0,156.07982850074768,speech_noise_all_zeros.tar.gz,emilia Reference
WavLM,1,emilia Test,98.72767853248443,1.0,125.695303440094,speech_noise_uniform_distribution.tar.gz,emilia Reference
WavLM,1,e2,97.95884896845817,1.0,165.07075881958008,speech_noise_uniform_distribution.tar.gz,emilia Reference
WavLM,1,whisperspeech,97.62576845305098,1.0,75.55261325836182,speech_noise_uniform_distribution.tar.gz,emilia Reference
WavLM,1,metavoice,97.54020747455161,1.0,138.30034923553467,speech_noise_uniform_distribution.tar.gz,emilia Reference
WavLM,1,fish,97.31526959748444,1.0,140.37205696105957,speech_noise_uniform_distribution.tar.gz,emilia Reference
WavLM,1,f5,97.28452498000435,1.0,153.3258397579193,speech_noise_uniform_distribution.tar.gz,emilia Reference
WavLM,1,pheme,97.25544988300119,1.0,102.25292420387268,speech_noise_uniform_distribution.tar.gz,emilia Reference
WavLM,1,tortoise,97.19621243653137,1.0,85.46611428260803,speech_noise_uniform_distribution.tar.gz,emilia Reference
WavLM,1,parlertts,97.08885188726428,1.0,110.8933527469635,speech_noise_uniform_distribution.tar.gz,emilia Reference
WavLM,1,xtts,96.98833988822658,1.0,75.54826664924622,speech_noise_uniform_distribution.tar.gz,emilia Reference
WavLM,1,hierspeechpp,96.30884727027052,1.0,143.68554544448853,speech_noise_uniform_distribution.tar.gz,emilia Reference
WavLM,1,bark,95.91206166964734,1.0,165.11106181144714,speech_noise_uniform_distribution.tar.gz,emilia Reference
WavLM,1,speecht5,95.8516234398244,1.0,94.63916730880737,speech_noise_uniform_distribution.tar.gz,emilia Reference
WavLM,1,gpt-sovits,95.00126685351576,1.0,151.38924908638,speech_noise_uniform_distribution.tar.gz,emilia Reference
