benchmark_name,benchmark_category,dataset,score,ci,time_taken,noise_dataset,reference_dataset
Allosaurus,2,speecht5,96.813015005536,1.0,0.13153958320617676,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,Myst Test,94.61907033686049,1.0,0.12110519409179688,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,fish,93.89597419877127,1.0,0.13608622550964355,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,gpt-sovits,93.06851184263583,1.0,0.1369948387145996,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,metavoice,92.76478467055775,1.0,0.13442063331604004,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,pheme,91.59320110747018,1.0,0.13655686378479004,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,styletts2,91.57885924202631,1.0,0.13845396041870117,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,whisperspeech,90.73334431389765,1.0,0.13295769691467285,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,parlertts,90.21824265749949,1.0,0.1342160701751709,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,hierspeechpp,89.03212272757152,1.0,0.13617897033691406,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,e2,88.0157299990837,1.0,0.13436126708984375,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,tortoise,87.97990963317814,1.0,0.13181447982788086,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,f5,87.89326567487804,1.0,0.1343400478363037,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,openvoice,86.96897771011102,1.0,0.1299457550048828,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,bark,85.46309024752411,1.0,0.14572691917419434,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,amphion_ns2,84.86799899054954,1.0,0.1320509910583496,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,amphion_valle,68.67925007733724,1.0,0.08322811126708984,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,voicecraft,68.51950567972449,1.0,0.1383199691772461,noise_uniform_distribution.tar.gz,Myst Reference
