benchmark_name,benchmark_category,dataset,score,ci,time_taken,noise_dataset,reference_dataset
Hubert,1,Myst Test,96.94319234499348,1.0,27.49065947532653,noise_uniform_distribution.tar.gz,Myst Reference
Hubert,1,f5,93.7300921447956,1.0,26.67839026451111,noise_uniform_distribution.tar.gz,Myst Reference
Hubert,1,e2,93.31548369772668,1.0,27.111247301101685,noise_uniform_distribution.tar.gz,Myst Reference
Hubert,1,pheme,92.77547124671284,1.0,63.12804460525513,noise_uniform_distribution.tar.gz,Myst Reference
Hubert,1,parlertts,92.25647556269882,1.0,59.54571080207825,noise_uniform_distribution.tar.gz,Myst Reference
Hubert,1,metavoice,91.79681818930608,1.0,27.10974597930908,noise_uniform_distribution.tar.gz,Myst Reference
Hubert,1,bark,91.38538546425788,1.0,27.36688041687012,noise_uniform_distribution.tar.gz,Myst Reference
Hubert,1,fish,91.2659699454173,1.0,26.744223833084103,noise_uniform_distribution.tar.gz,Myst Reference
Hubert,1,tortoise,90.4254501107672,1.0,58.47774338722229,noise_uniform_distribution.tar.gz,Myst Reference
Hubert,1,amphion_valle,89.92929215366158,1.0,26.6665723323822,noise_uniform_distribution.tar.gz,Myst Reference
Hubert,1,hierspeechpp,89.52537955803415,1.0,27.482836484909058,noise_uniform_distribution.tar.gz,Myst Reference
Hubert,1,whisperspeech,88.8291726908589,1.0,58.16876840591431,noise_uniform_distribution.tar.gz,Myst Reference
Hubert,1,speecht5,87.98574031085622,1.0,60.30762243270874,noise_uniform_distribution.tar.gz,Myst Reference
Hubert,1,gpt-sovits,86.35153262867229,1.0,26.88639736175537,noise_uniform_distribution.tar.gz,Myst Reference
Hubert,1,voicecraft,84.53055594718192,1.0,55.91334056854248,noise_uniform_distribution.tar.gz,Myst Reference
Hubert,1,styletts2,84.27910839433467,1.0,59.537474632263184,noise_uniform_distribution.tar.gz,Myst Reference
Hubert,1,amphion_ns2,82.94120293670072,1.0,25.514169931411743,noise_uniform_distribution.tar.gz,Myst Reference
Hubert,1,openvoice,81.69736013581209,1.0,61.45062184333801,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,Myst Test,93.29405111198542,1.0,0.07626700401306152,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,bark,89.14043965030432,1.0,0.12877893447875977,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,pheme,88.73369630103046,1.0,0.13158893585205078,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,hierspeechpp,88.66469912929466,1.0,0.13290810585021973,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,amphion_valle,87.03819727663888,1.0,0.12164521217346191,noise_uniform_distribution.tar.gz,Myst Reference
Allosaurus,2,speecht5,83.05602077234362,1.0,0.13537025451660156,noise_uniform_distribution.tar.gz,Myst Reference
