benchmark_name,benchmark_category,dataset,score,ci,time_taken,noise_dataset,reference_dataset
Hubert,1,myst Test,96.96740570427508,1.0,243.60278129577637,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert,1,f5,93.73257162710685,1.0,260.5009596347809,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert,1,e2,93.32870539296887,1.0,260.52759647369385,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert,1,pheme,92.79528042446404,1.0,240.80048274993896,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert,1,parlertts,92.20614257158076,1.0,249.94289636611938,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert,1,metavoice,91.816402494644,1.0,251.46259760856628,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert,1,bark,91.3998219114849,1.0,252.01418924331665,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert,1,fish,91.27766098700184,1.0,232.65247321128845,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert,1,xtts,90.47860597132575,1.0,240.02172541618347,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert,1,tortoise,90.41530959880795,1.0,253.85800743103027,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert,1,amphion_valle,89.96713054799679,1.0,260.54092741012573,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert,1,hierspeechpp,89.54516877331446,1.0,253.88297772407532,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert,1,whisperspeech,88.84070722351633,1.0,240.0562162399292,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert,1,speecht5,88.0256910882352,1.0,289.4109034538269,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert,1,gpt-sovits,86.35506528958193,1.0,257.9836473464966,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert,1,voicecraft,84.43578213948105,1.0,256.37033677101135,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert,1,styletts2,84.27330843697011,1.0,224.47037076950073,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert,1,amphion_ns2,82.92977777093502,1.0,260.9806339740753,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert,1,openvoice,81.69783880358874,1.0,251.46811866760254,speech_noise_uniform_distribution.tar.gz,myst Reference
Wav2Vec2,1,myst Test,96.71291126910255,1.0,269.39061737060547,speech_noise_all_zeros.tar.gz,myst Reference
Wav2Vec2,1,f5,93.7401492517837,1.0,256.9262547492981,speech_noise_all_zeros.tar.gz,myst Reference
Wav2Vec2,1,e2,93.55794411181272,1.0,257.05447578430176,speech_noise_all_zeros.tar.gz,myst Reference
Wav2Vec2,1,pheme,92.97442074963958,1.0,258.2886607646942,speech_noise_all_zeros.tar.gz,myst Reference
Wav2Vec2,1,bark,92.63145234534042,1.0,257.05283403396606,speech_noise_all_zeros.tar.gz,myst Reference
Wav2Vec2,1,metavoice,92.44810550253972,1.0,269.39282727241516,speech_noise_all_zeros.tar.gz,myst Reference
Wav2Vec2,1,fish,91.57189876531336,1.0,276.4774000644684,speech_noise_all_zeros.tar.gz,myst Reference
Wav2Vec2,1,parlertts,91.52311958652973,1.0,214.5498242378235,speech_noise_normal_distribution.tar.gz,myst Reference
Wav2Vec2,1,xtts,90.80128929662798,1.0,197.90844798088074,speech_noise_all_zeros.tar.gz,myst Reference
Wav2Vec2,1,hierspeechpp,90.47899739589873,1.0,250.03801846504211,speech_noise_all_zeros.tar.gz,myst Reference
Wav2Vec2,1,tortoise,90.38646285977485,1.0,222.7920742034912,speech_noise_all_zeros.tar.gz,myst Reference
Wav2Vec2,1,amphion_valle,90.22830053731218,1.0,257.0683493614197,speech_noise_normal_distribution.tar.gz,myst Reference
Wav2Vec2,1,whisperspeech,88.73575269135507,1.0,197.90546202659607,speech_noise_all_zeros.tar.gz,myst Reference
Wav2Vec2,1,speecht5,88.48624942532462,1.0,222.79681873321533,speech_noise_normal_distribution.tar.gz,myst Reference
Wav2Vec2,1,gpt-sovits,86.3304890338265,1.0,275.82379245758057,speech_noise_all_zeros.tar.gz,myst Reference
Wav2Vec2,1,voicecraft,84.93794419729174,1.0,197.908221244812,speech_noise_normal_distribution.tar.gz,myst Reference
Wav2Vec2,1,styletts2,84.38892862397032,1.0,222.80357456207275,speech_noise_all_zeros.tar.gz,myst Reference
Wav2Vec2,1,amphion_ns2,83.57069865629249,1.0,257.06860733032227,speech_noise_normal_distribution.tar.gz,myst Reference
Wav2Vec2,1,openvoice,81.82637794998541,1.0,259.8377585411072,speech_noise_all_zeros.tar.gz,myst Reference
WavLM,1,myst Test,97.72823121030915,1.0,239.35915327072144,speech_noise_uniform_distribution.tar.gz,myst Reference
WavLM,1,f5,95.07829408195282,1.0,192.39850521087646,speech_noise_uniform_distribution.tar.gz,myst Reference
WavLM,1,e2,94.5603298914485,1.0,236.39591574668884,speech_noise_uniform_distribution.tar.gz,myst Reference
WavLM,1,pheme,94.47514028512083,1.0,218.89452362060547,speech_noise_uniform_distribution.tar.gz,myst Reference
WavLM,1,bark,93.49805004387035,1.0,222.8830807209015,speech_noise_uniform_distribution.tar.gz,myst Reference
WavLM,1,metavoice,93.12044913240614,1.0,228.41917443275452,speech_noise_uniform_distribution.tar.gz,myst Reference
WavLM,1,fish,92.7352005484821,1.0,209.72664618492126,speech_noise_uniform_distribution.tar.gz,myst Reference
WavLM,1,parlertts,92.54447772500815,1.0,216.39864945411682,speech_noise_uniform_distribution.tar.gz,myst Reference
WavLM,1,hierspeechpp,92.19724452648215,1.0,213.7810263633728,speech_noise_uniform_distribution.tar.gz,myst Reference
WavLM,1,xtts,92.17191036875016,1.0,178.8419349193573,speech_noise_uniform_distribution.tar.gz,myst Reference
WavLM,1,tortoise,91.90418647593862,1.0,218.8928520679474,speech_noise_uniform_distribution.tar.gz,myst Reference
WavLM,1,amphion_valle,91.63989703380271,1.0,236.54448890686035,speech_noise_uniform_distribution.tar.gz,myst Reference
WavLM,1,whisperspeech,90.28835499208871,1.0,192.24623155593872,speech_noise_uniform_distribution.tar.gz,myst Reference
WavLM,1,speecht5,89.69912704645478,1.0,218.90294814109802,speech_noise_uniform_distribution.tar.gz,myst Reference
WavLM,1,gpt-sovits,85.90861042351897,1.0,209.6677589416504,speech_noise_uniform_distribution.tar.gz,myst Reference
WavLM,1,styletts2,85.74972386125731,1.0,218.87639689445496,speech_noise_uniform_distribution.tar.gz,myst Reference
WavLM,1,voicecraft,84.7617591783985,1.0,215.46262335777283,speech_noise_uniform_distribution.tar.gz,myst Reference
WavLM,1,amphion_ns2,83.81393950305996,1.0,245.43028235435486,speech_noise_uniform_distribution.tar.gz,myst Reference
WavLM,1,openvoice,83.07877399656745,1.0,218.93626713752747,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,myst Test,93.29405111198542,1.0,0.09353494644165039,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,bark,89.14043965030432,1.0,0.08769941329956055,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,hierspeechpp,88.66469912929466,1.0,0.07718992233276367,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,pheme,88.6423236698727,1.0,0.3302140235900879,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,amphion_valle,87.03819727663888,1.0,0.07657647132873535,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,speecht5,83.05602077234362,1.0,0.3587491512298584,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,fish,80.30288341123415,1.0,0.08270645141601562,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,parlertts,79.70607519691157,1.0,0.09606552124023438,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,f5,79.07777809792472,1.0,0.09209442138671875,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,metavoice,78.2179495173931,1.0,0.33160829544067383,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,e2,78.13986209060295,1.0,0.33615660667419434,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,xtts,76.22234957071285,1.0,0.34873533248901367,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,tortoise,76.02395335561363,1.0,0.35859227180480957,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,whisperspeech,74.10641332098177,1.0,0.35409975051879883,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,voicecraft,71.57966658355772,1.0,0.34821438789367676,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,gpt-sovits,69.84450631285537,1.0,0.3529787063598633,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,styletts2,68.29295089930386,1.0,0.31548595428466797,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,amphion_ns2,68.08759115842912,1.0,0.04165363311767578,speech_noise_uniform_distribution.tar.gz,myst Reference
Allosaurus,2,openvoice,65.51684849309966,1.0,0.3586275577545166,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,myst Test,81.86012063338305,1.0,0.44132328033447266,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,e2,69.40407686846743,1.0,0.4017667770385742,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,f5,64.85821949912116,1.0,0.3855323791503906,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,hierspeechpp,61.0182009510152,1.0,0.37384605407714844,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,fish,60.46616796470299,1.0,0.42414331436157227,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,amphion_valle,58.661231899471325,1.0,8.020388841629028,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,xtts,56.17463667066641,1.0,0.19921875,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,parlertts,55.62568509369723,1.0,0.3861570358276367,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,bark,55.064788458918976,1.0,0.38956284523010254,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,pheme,54.855148346563624,1.0,0.23998808860778809,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,tortoise,51.99401270910803,1.0,0.21327900886535645,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,whisperspeech,51.1811410374606,1.0,0.19057440757751465,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,voicecraft,51.04800407347307,1.0,0.20826339721679688,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,gpt-sovits,51.01039409028226,1.0,0.3756265640258789,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,metavoice,50.628457214164044,1.0,0.4153134822845459,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,styletts2,50.61724442064555,1.0,0.2097930908203125,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,amphion_ns2,48.81139708562866,1.0,0.09167742729187012,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,speecht5,48.68726108241683,1.0,0.21246004104614258,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token,2,openvoice,48.35193521913911,1.0,0.39886999130249023,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token SR,2,myst Test,83.16231472480868,1.0,0.08821845054626465,speech_noise_normal_distribution.tar.gz,myst Reference
Hubert Token SR,2,hierspeechpp,68.04508065212343,1.0,0.09011173248291016,speech_noise_normal_distribution.tar.gz,myst Reference
Hubert Token SR,2,f5,62.03330155976947,1.0,0.13527154922485352,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token SR,2,e2,60.28875807793087,1.0,0.16788816452026367,speech_noise_normal_distribution.tar.gz,myst Reference
Hubert Token SR,2,pheme,57.814059206282685,1.0,0.08583259582519531,speech_noise_normal_distribution.tar.gz,myst Reference
Hubert Token SR,2,speecht5,57.75671032835379,1.0,0.10871624946594238,speech_noise_normal_distribution.tar.gz,myst Reference
Hubert Token SR,2,bark,57.31077270000489,1.0,0.14783477783203125,speech_noise_normal_distribution.tar.gz,myst Reference
Hubert Token SR,2,fish,56.94419705693744,1.0,0.13232660293579102,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token SR,2,xtts,54.481606656075385,1.0,0.28006505966186523,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token SR,2,whisperspeech,51.964688967368986,1.0,0.3058280944824219,speech_noise_uniform_distribution.tar.gz,myst Reference
Hubert Token SR,2,styletts2,49.119925773588164,1.0,0.13372445106506348,speech_noise_uniform_distribution.tar.gz,myst Reference
