benchmark_name,benchmark_category,dataset,score,ci,time_taken,noise_dataset,reference_dataset
Hubert,1,Torgo Test,95.56833155877831,1.0,341.43579959869385,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,voicecraft (Control),87.34372552870356,1.0,176.50788927078247,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,e2 (Control),86.65336158016932,1.0,377.82160663604736,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,f5 (Control),86.5969335059637,1.0,323.34187960624695,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,speecht5 (Control),83.72811055350199,1.0,282.8778946399689,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,pheme (Control),82.93179900058051,1.0,294.7612638473511,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,xtts (Control),81.64929013696198,1.0,162.60148167610168,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,parlertts (Control),81.60537920888842,1.0,322.78346991539,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,hierspeechpp (Control),81.06371067705302,1.0,322.0655987262726,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,tortoise (Control),80.58086320591691,1.0,305.6141448020935,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,gpt-sovits (Control),80.31260237223573,1.0,376.30598068237305,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,whisperspeech (Control),79.36265991245105,1.0,168.318026304245,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,amphion_valle (Control),79.14939127361819,1.0,330.0521845817566,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,styletts2 (Control),79.04115549995367,1.0,318.47769260406494,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,amphion_ns2 (Control),78.13017914316883,1.0,374.71651816368103,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,metavoice (Control),77.9879382404094,1.0,370.3293409347534,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,fish (Control),77.7495414820542,1.0,376.56321716308594,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,openvoice (Control),77.27626644022861,1.0,368.8926820755005,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,bark (Control),70.55346061464206,1.0,377.82334780693054,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,Torgo Test,94.97648509276735,1.0,212.90222454071045,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,voicecraft (Control),87.50064521139227,1.0,200.5317223072052,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,e2 (Control),84.97285350426343,1.0,212.73722386360168,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,f5 (Control),84.90523676798502,1.0,212.6884729862213,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,pheme (Control),80.16086208787894,1.0,201.83431887626648,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,parlertts (Control),78.97425500573476,1.0,166.49729800224304,speech_noise_normal_distribution.tar.gz,Torgo Reference
