benchmark_name,benchmark_category,dataset,score,ci,time_taken,noise_dataset,reference_dataset
Hubert,1,Torgo Test,96.67720960843677,1.0,178.48175835609436,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,e2 (Dysarthric),90.40344895885951,1.0,221.51829171180725,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,f5 (Dysarthric),90.11571358037979,1.0,178.4681339263916,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,voicecraft (Dysarthric),89.52039094786313,1.0,125.4030647277832,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,parlertts (Dysarthric),86.56939394272756,1.0,185.01716876029968,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,metavoice (Dysarthric),85.60879930268402,1.0,178.20338439941406,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,fish (Dysarthric),85.00986608345951,1.0,193.1762912273407,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,pheme (Dysarthric),83.78521902432495,1.0,203.5016257762909,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,amphion_valle (Dysarthric),83.77606391201837,1.0,180.61145114898682,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,speecht5 (Dysarthric),82.57830289852717,1.0,190.1932065486908,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,xtts (Dysarthric),81.49987670009456,1.0,162.46664905548096,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,hierspeechpp (Dysarthric),80.61334399905887,1.0,218.34986758232117,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,tortoise (Dysarthric),79.69789613464864,1.0,187.9541425704956,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,whisperspeech (Dysarthric),79.5603555456216,1.0,164.45639657974243,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,bark (Dysarthric),79.2653172887379,1.0,219.58383202552795,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,styletts2 (Dysarthric),76.73555365981616,1.0,188.77041745185852,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,amphion_ns2 (Dysarthric),76.58947452918225,1.0,175.35409379005432,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,openvoice (Dysarthric),74.06585397968529,1.0,219.31592059135437,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Hubert,1,gpt-sovits (Dysarthric),73.98546929481259,1.0,217.48547911643982,speech_noise_uniform_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,Torgo Test,96.52021907995156,1.0,153.11775588989258,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,voicecraft (Dysarthric),90.09415678457583,1.0,149.90316939353943,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,e2 (Dysarthric),90.04684037744187,1.0,180.43579030036926,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,f5 (Dysarthric),89.38186379747866,1.0,152.83814811706543,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,fish (Dysarthric),84.27217283989738,1.0,150.76314091682434,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,parlertts (Dysarthric),84.05668589484685,1.0,199.80012440681458,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,amphion_valle (Dysarthric),82.58321385939487,1.0,183.56879878044128,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,bark (Dysarthric),81.17197507341298,1.0,178.64494943618774,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,speecht5 (Dysarthric),80.8201547158665,1.0,149.40481042861938,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,pheme (Dysarthric),80.47182603998773,1.0,166.08696794509888,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,metavoice (Dysarthric),77.88138299428687,1.0,203.6972725391388,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,tortoise (Dysarthric),76.09374784489138,1.0,167.77139902114868,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,hierspeechpp (Dysarthric),75.53766785359282,1.0,207.94969868659973,speech_noise_all_zeros.tar.gz,Torgo Reference
Wav2Vec2,1,xtts (Dysarthric),74.97157420256079,1.0,144.51000952720642,speech_noise_all_zeros.tar.gz,Torgo Reference
Wav2Vec2,1,whisperspeech (Dysarthric),74.95188208712187,1.0,154.39708757400513,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,styletts2 (Dysarthric),74.39713417917527,1.0,110.1295428276062,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,gpt-sovits (Dysarthric),73.9509691291432,1.0,188.93571615219116,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,amphion_ns2 (Dysarthric),73.30174805424056,1.0,191.1545171737671,speech_noise_normal_distribution.tar.gz,Torgo Reference
Wav2Vec2,1,openvoice (Dysarthric),70.31168575031325,1.0,199.8505311012268,speech_noise_normal_distribution.tar.gz,Torgo Reference
WavLM,1,Torgo Test,98.11477504510964,1.0,127.82598757743835,speech_noise_uniform_distribution.tar.gz,Torgo Reference
WavLM,1,e2 (Dysarthric),90.76276773620287,1.0,147.86885046958923,speech_noise_uniform_distribution.tar.gz,Torgo Reference
WavLM,1,voicecraft (Dysarthric),90.73362086138354,1.0,77.03360176086426,speech_noise_uniform_distribution.tar.gz,Torgo Reference
